Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse
2022-12-11,Neubau,"4,5 Zimmer",150 m²,CHF 1 225 000.—,"Lilienweg 7, 3426 Aefligen, BE"
2022-12-11,Neubau,"3,5 Zimmer",n/a,CHF 950 000.—,"Weingartenstrasse 13, 8371 Busswil TG, TG"
2022-12-11,Neubau,"4,5 Zimmer",n/a,CHF 1 190 000.—,"Weingartenstrasse 13, 8371 Busswil TG, TG"
2022-12-11,Neubau,"3,5 Zimmer",106 m²,CHF 1 610 000.—,"1012 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",102 m²,CHF 520 000.—,"Rue Hermann Geiger, 1950 Sion, VS"
2022-12-11,Neubau,"4,5 Zimmer",122 m²,CHF 610 000.—,"Rue Hermann Geiger, 1950 Sion, VS"
2022-12-11,Neubau,"3,5 Zimmer",153 m²,CHF 745 000.—,"Ringstrasse 5, 3362 Niederönz, BE"
2022-12-11,Neubau,"5,5 Zimmer",113 m²,CHF 675 000.—,"Rossweid 3, 5619 Büttikon AG, AG"
2022-12-11,Neubau,"4,5 Zimmer",139 m²,CHF 950 000.—,"Via Portiora, 15, 6500 Bellinzona, TI"
2022-12-11,Neubau,"3,5 Zimmer",78 m²,CHF 565 000.—,"Vordergasse 6, 3858 Hofstetten b. Brienz, BE"
2022-12-11,Neubau,"3,5 Zimmer",78 m²,CHF 585 000.—,"Vordergasse 6, 3858 Hofstetten b. Brienz, BE"
2022-12-11,Neubau,"3,5 Zimmer",78 m²,CHF 580 000.—,"Vordergasse 6, 3858 Hofstetten b. Brienz, BE"
2022-12-11,Neubau,"3,5 Zimmer",114 m²,CHF 1 020 000.—,"Endorfhohle, 3655 Sigriswil, BE"
2022-12-11,Neubau,"4,5 Zimmer",n/a,CHF 760 000.—,"Pianostrasse 63, 2503 Biel/Bienne, BE"
2022-12-11,Neubau,"4,5 Zimmer",137 m²,Preis auf Anfrage,"Eschenring 8, 6300 Zug, ZG"
2022-12-11,Neubau,"4,5 Zimmer",123 m²,CHF 1 080 000.—,"Rütiweg 2, 3072 Ostermundigen, BE"
2022-12-11,Neubau,"3,5 Zimmer",80 m²,CHF 875 000.—,"1188 Gimel, VD"
2022-12-11,Neubau,"3,5 Zimmer",93 m²,CHF 1 250 000.—,"Sonnhalde, 6354 Vitznau, LU"
2022-12-11,Neubau,"5,5 Zimmer",131 m²,CHF 2 200 000.—,"Sonnhalde, 6354 Vitznau, LU"
2022-12-11,Neubau,"2,5 Zimmer",71 m²,CHF 1 000 000.—,"Sonnhalde, 6354 Vitznau, LU"
2022-12-11,Neubau,2 Zimmer,59 m²,CHF 800 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,3 Zimmer,93 m²,CHF 1 090 000.—,"Route du Tirage 5, 1806 St-Légier-La Chiésaz, VD"
2022-12-11,Neubau,"4,5 Zimmer",126 m²,CHF 745 000.—,"Pappelweg, 4805 Brittnau, AG"
2022-12-11,Neubau,"3,5 Zimmer",111 m²,CHF 695 000.—,"Pappelweg, 4805 Brittnau, AG"
2022-12-11,Neubau,"4,5 Zimmer",150 m²,CHF 1 225 000.—,"Lilienweg 7, 3426 Aefligen, BE"
2022-12-11,Neubau,"3,5 Zimmer",n/a,CHF 950 000.—,"Weingartenstrasse 13, 8371 Busswil TG, TG"
2022-12-11,Neubau,"4,5 Zimmer",n/a,CHF 1 190 000.—,"Weingartenstrasse 13, 8371 Busswil TG, TG"
2022-12-11,Neubau,"3,5 Zimmer",106 m²,CHF 1 610 000.—,"1012 Lausanne, VD"
2022-12-11,Neubau,"3,5 Zimmer",102 m²,CHF 520 000.—,"Rue Hermann Geiger, 1950 Sion, VS"
