Datum,Wohnungsart,Zimmeranzahl,Wohnungsgrösse_m2,Verkaufspreis,Wohnungs_Adresse,Kanton,Latitude/Longitude,clean,Latitude,Longitude
2022-12-21,serp_responsive#badge_new_building_lite,2.5,55,0,"Rue du Port 31, 1820 Montreux, VD",VD,,clean,46.442212049999995,6.896893654157193
2022-12-21,serp_responsive#badge_new_building_lite,3.5,88,590000,"Telmoos 10, 1716 Plaffeien, FR",FR,,clean,46.7372459,7.2921369
2022-12-21,serp_responsive#badge_new_building_lite,3.5,82,685000,"Nelkenstrasse 16, 4410 Liestal, BL",BL,,clean,47.4829419,7.7407174
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,750000,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,750000,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,4.5,140,880000,"Myrtenstrasse 6, 5737 Menziken, AG",AG,,clean,47.239907,8.1927404
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,92000,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,92000,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,unbekannt,5.5,235,1450000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,4.5,146,900000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,3.5,115,710000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,2.5,86,520000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,127490,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,127490,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,serp_responsive#badge_new_building_lite,5.5,94,540000,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,4.5,88,480000,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,620000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,1260000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,1060000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,125,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,950000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,124,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,585000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,2.5,55,0,"Rue du Port 31, 1820 Montreux, VD",VD,,clean,46.442212049999995,6.896893654157193
2022-12-21,serp_responsive#badge_new_building_lite,3.5,88,590000,"Telmoos 10, 1716 Plaffeien, FR",FR,,clean,46.7372459,7.2921369
2022-12-21,serp_responsive#badge_new_building_lite,3.5,82,685000,"Nelkenstrasse 16, 4410 Liestal, BL",BL,,clean,47.4829419,7.7407174
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,750000,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,3.0,95,750000,"Via Pree 8, 6900 Lugano, TI",TI,,clean,45.9593602,8.9209865
2022-12-21,serp_responsive#badge_new_building_lite,4.5,140,880000,"Myrtenstrasse 6, 5737 Menziken, AG",AG,,clean,47.239907,8.1927404
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,92000,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,42,92000,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,unbekannt,5.5,235,1450000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,4.5,146,900000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,3.5,115,710000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,unbekannt,2.5,86,520000,"Via Fabrizia 6 b, 6512 Giubiasco, TI",TI,,clean,46.177898,9.0194024
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,127490,"1200 Genève, GE",GE,,clean,46.19454185,6.1392286
2022-12-21,serp_responsive#badge_new_building_lite,1.0,46,127490,"8000 Zürich, ZH",ZH,,clean,47.3744489,8.5410422
2022-12-21,serp_responsive#badge_new_building_lite,5.5,94,540000,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,4.5,88,480000,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,620000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,1260000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,5.5,128,1060000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,125,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,113,950000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,4.5,124,970000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,serp_responsive#badge_new_building_lite,3.5,71,585000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,Construction neuve,5.5,128,1160000,"Neubrückstrasse 11, 2555 Brügg BE, BE",BE,,clean,47.1215316,7.278944632721537
2022-12-21,Construction neuve,3.5,70,395000,"Oelirian, 2540 Grenchen, SO",SO,,clean,unbekant,unbekannt
2022-12-21,Construction neuve,4.5,125,1415000,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,3.5,99,1115000,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,4.5,125,1260000,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,3.5,99,995000,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,5.5,137,1890000,"Barbaraweg 7, 5000 Aarau, AG",AG,,clean,47.39091045,8.06379355
2022-12-21,Construction neuve,5.5,139,950000,"Lilienweg 7, 3426 Aefligen, BE",BE,,clean,47.0935874,7.5592195
2022-12-21,Construction neuve,4.5,152,0,"Neuhofstrasse 21, 6330 Cham, ZG",ZG,,clean,47.177228,8.4528685
2022-12-21,Construction neuve,4.5,143,1320000,"Ringstrasse 1a, 2560 Nidau, BE",BE,,clean,47.1229905,7.2503489
